IDEN,Prediction,C_perc,C_IR,SEP,SD,RPD,RER
68.1,Set2_ilr,10.81,7.73747518302868,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
387,Set2_ilr,2.486,2.6035272746754,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
615,Set2_ilr,3.183,2.87119890541113,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
626,Set2_ilr,11.33,3.82360820583388,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
676,Set2_ilr,3.701,3.52353095068874,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
682,Set2_ilr,3.133,3.52894430417828,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
687,Set2_ilr,3.557,3.52870160516134,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2233,Set2_ilr,4.143,5.11147523999048,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2257,Set2_ilr,6.177,5.82511871782794,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2265,Set2_ilr,5.356,5.50810822349618,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2284,Set2_ilr,6.24,6.77915565618843,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2350,Set2_ilr,1.28,4.22397305515109,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
29,Set2_ilr,2.347,2.15288412945241,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
32,Set2_ilr,4.191,4.03870438858675,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
50,Set2_ilr,1.897,1.96258271861106,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
53,Set2_ilr,3.57,2.75139248104752,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
99,Set2_ilr,2.9737,2.66931639404686,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
102,Set2_ilr,2.5873,2.68598587019738,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
126,Set2_ilr,2.167,2.38224693143184,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
129,Set2_ilr,1.9617,2.03717977980849,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
252,Set2_ilr,1.678,1.66868292856238,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
255,Set2_ilr,1.812,2.06990848268564,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
258,Set2_ilr,2.6244,2.28570626179419,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
270,Set2_ilr,1.19,1.21347660886361,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
273,Set2_ilr,1.95,1.99959329062447,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
288,Set2_ilr,1.0712,1.24667104847649,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
297,Set2_ilr,0.75557,1.01201316246394,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
312,Set2_ilr,1.152,1.57947442355221,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
317,Set2_ilr,0.52552,1.13548539931548,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
332,Set2_ilr,1.1944,1.29281063061173,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
335,Set2_ilr,1.2941,1.68572691313617,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
338,Set2_ilr,0.56304,0.700221093059523,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
341,Set2_ilr,0.43938,0.615615551793926,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
352,Set2_ilr,0.95789,1.09276892136213,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
358,Set2_ilr,0.78578,1.03237227554462,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
487,Set2_ilr,2.3997,2.30340009709201,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
501,Set2_ilr,1.827,1.97600485427833,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
507,Set2_ilr,2.455,2.39737203136469,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
538,Set2_ilr,2.6635,2.82632274776777,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
550,Set2_ilr,3.4015,3.04835482760924,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
596,Set2_ilr,2.6113,2.11335896217344,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
612,Set2_ilr,2.844,2.06251485747999,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
622,Set2_ilr,2.899,2.45526629410161,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
633,Set2_ilr,2.033,2.00898066068533,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
639,Set2_ilr,2.036,2.76357904775769,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
645,Set2_ilr,1.365,2.02735901058958,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
656,Set2_ilr,2.498,2.21514184551547,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
668,Set2_ilr,2.385,2.10658138118036,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
683,Set2_ilr,1.761,1.69194683732595,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
689,Set2_ilr,2.5,2.60932427840808,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
714,Set2_ilr,2.257,2.38422387015778,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
743,Set2_ilr,2.409,1.91611901286384,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
746,Set2_ilr,2.895,2.97867795743469,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
749,Set2_ilr,1.981,2.11974003835805,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
782,Set2_ilr,1.763,1.77622099096455,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
795,Set2_ilr,2.625,2.43371029502931,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
807,Set2_ilr,3.128,2.97354561783622,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
838,Set2_ilr,3.295,3.00328335162938,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
841,Set2_ilr,2.792,2.29536603676454,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
848,Set2_ilr,2.649,2.38884022765058,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
872,Set2_ilr,2.607,2.22490837177412,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
875,Set2_ilr,3.028,2.85205350938638,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
878,Set2_ilr,3.093,4.21260105003177,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
898,Set2_ilr,3.056,2.99276816254401,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
928,Set2_ilr,2.389,2.67689988969557,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
934,Set2_ilr,2.479,3.30880841087445,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
967,Set2_ilr,2.398,2.55277162602667,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
987,Set2_ilr,2.489,2.53473784126571,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1013,Set2_ilr,2.898,3.0374092002616,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1026,Set2_ilr,2.856,3.03729928347768,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1142,Set2_ilr,1.421,1.49514023921933,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1147,Set2_ilr,3.019,3.52121504446406,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1153,Set2_ilr,2.81,2.66663544367186,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1175,Set2_ilr,2.156,2.30288247065142,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1192,Set2_ilr,2.638,2.27636858847136,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1235,Set2_ilr,3.519,3.25905043017784,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1263,Set2_ilr,2.472,2.39636841602253,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1285,Set2_ilr,2.394,3.02262732747192,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1307,Set2_ilr,1.753,1.97786687353809,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1340,Set2_ilr,1.574,1.55917514049875,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1409,Set2_ilr,1.805,2.47055377879707,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1412,Set2_ilr,2.145,2.74348377641586,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1577,Set2_ilr,2.015,2.07044747843012,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1736,Set2_ilr,1.869,1.78610700253843,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1741,Set2_ilr,1.975,1.76844929566213,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1747,Set2_ilr,2.495,3.56307872332313,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1751,Set2_ilr,1.738,2.24377851543994,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1758,Set2_ilr,1.393,1.4816259983927,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1781,Set2_ilr,1.4497,1.65798733853269,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
1787,Set2_ilr,1.8489,1.99539268058321,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2218,Set2_ilr,2.344,3.10968724444416,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2221,Set2_ilr,2.452,2.71724005065257,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2226,Set2_ilr,2.917,2.48942303771128,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2229,Set2_ilr,2.179,3.30531692898793,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2257,Set2_ilr,6.177,4.79666065646775,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2275,Set2_ilr,1.965,2.12895238626374,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2301,Set2_ilr,9.269,7.7816831157177,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2390,Set2_ilr,1.119,1.45714664903041,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2405,Set2_ilr,1.761,2.96034935416507,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2565,Set2_ilr,2.255,2.38187658280847,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2591,Set2_ilr,2.934,3.08197837832356,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2594,Set2_ilr,1.942,2.26314782367629,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2599,Set2_ilr,2.475,2.19172189547722,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2621,Set2_ilr,2.159,2.59420347351496,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2780,Set2_ilr,2.029,2.09106449190062,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
2800,Set2_ilr,2.79,2.47867995896232,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3121,Set2_ilr,3.3459,2.83054550776927,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3127,Set2_ilr,2.5396,3.14796531328661,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3264,Set2_ilr,1.759,3.62316951080207,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3345,Set2_ilr,2.2221,2.44224726547953,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3351,Set2_ilr,1.9604,2.52425308895227,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3354,Set2_ilr,0.6572,0.874876238241915,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3357,Set2_ilr,1.2496,1.3148345966753,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3366,Set2_ilr,4.1988,2.84797638035732,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
3615,Set2_ilr,2.5923,2.51970188785857,0.14248832449765,1.59254733536384,11.1766865178494,87.2935382169163
