IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
1;02LEP00000;;4.1;;;;;
2;02LEP00002;;3.56;;;;;
3;02LEP00004;;5;;;;;
4;02LEP00100;;3.86;;;;;
5;02LEP00102;;3.36;;;;;
6;02LEP00200;1.03;6.1;;;3.811;;
7;02LEP00202;1.15;4.9;;;2.908;;
8;02LEP00204;1.24;2.8;;;2.008;;
9;02LEP00206;;1.8;;;;;
10;02LEP00208;1.36;2.2;;;1.669;;
11;02LEP00210;1.2;2.5;;;1.941;;
12;02LEP00212;1.11;2.1;;;1.699;;
13;02LEP00214;1.15;2.1;;;1.778;;
14;02LEP00216;1.15;3.2;;;2.418;;
15;02LEP00218;0.9;9.2;;;5.972;;
16;02LEP00220;1.07;3.9;;;2.919;;
17;02LEP00222;;4;;;;;
18;02LEP00224;;3.9;;;;;
19;02LEP00300;1.15;4.45;;;3.751;;
20;02LEP00302;1.2;5.27;;;;;
21;02LEP00304;1.23;1.48;;;1.561;;
22;02LEP00306;1.13;3.92;;;2.488;;
23;02LEP00308;1.22;2.3;;;1.455;;
24;02LEP00310;0.88;8.19;;;6.154;;
25;02LEP00312;0.95;5.68;;;3.3472;0.29452;0.0354
26;02LEP00314;1.12;3.08;;;2.401;;
27;02LEP00316;1.18;3.42;;;2.498;;
28;02LEP00318;1;19.37;;;10.217;0.71165;0.164
29;02LEP00320;0.97;4.45;;;2.347;;
30;02LEP00322;1.25;2.87;;;2.602;;
31;02LEP00324;1.2;2.78;;;1.927;;
32;02LEP00326;1.25;3.81;;;4.191;;
33;02LEP00328;1.04;6.94;;;3.72;;
34;03BOL00000;1.22;;;;2.8;;
35;03BOL00002;1.25;;;;2.8;;
36;03BOL00004;1.29;;;;3.3;;
37;03BOL00006;1.31;;;;3.2;;
38;03BOL00008;1.27;;;;2.4;;
39;03BOL00010;1.31;;;;2.49;;
40;03BOL00012;1.25;;;;2.8;;
41;03BOL00014;1.32;;;;2.67;;
42;03BOL00016;1.17;;;;3.48;;
43;03BOL00018;1.25;;;;2.44;;
44;03BOL00020;1.19;;;;2.73;;
45;03BOL00022;1.34;;;;2.2;;
46;03BOL00024;1.13;;;;3.54;;
47;03BOL00026;1.13;;;;2.84;;
48;03BOL00028;1.43;;;;2.55;;
49;02LEP00400;1.11;4.45;;;2.141;;
50;02LEP00402;1.24;3.13;;;1.897;;
51;02LEP00404;1.29;1.81;;;1.603;;
52;02LEP00406;1.26;3.13;;;2.707;;
53;02LEP00408;1.33;3.27;;;3.57;;
54;02LEP00410;1.42;1.46;;;1.568;;
55;02LEP00412;1.22;3.4;;;2.651;;
56;02LEP00414;1.27;2.29;;;1.974;;
57;02LEP00416;1.27;1.95;;;2.041;;
58;02LEP00418;1.07;4.03;;;2.667;;
59;02LEP00420;1.29;2.57;;;1.755;;
60;02LEP00422;1.15;4.52;;;3.388;;
61;02LEP00424;1.24;5.14;;;3.131;;
62;02LEP00426;1.16;2.57;;;2.339;;
63;02LEP00428;1.08;2.01;;;1.786;;
64;02LEP00430;1.24;1.95;;;1.945;;
65;05OLEP00000;0.99;;;;2;;
66;05OLEP00002;1.08;;;;1.8557;;
67;05OLEP00004;1.09;;;;2.6;;
68;05OLEP00006;1.19;;;;1.5523;;
69;02LEP00500;1.3;;;;2.8533;;
70;02LEP00502;1.27;;;;2.453;;
71;02LEP00504;1.26;;;;2.7397;;
72;02LEP00506;1.24;;;;2.523;;
73;02LEP00508;1.28;;;;2.9643;;
74;02LEP00510;1.55;;;;2.7167;;
75;02LEP00512;1.2;;;;2.1617;;
76;02LEP00514;1.04;;;;2.2857;;
77;04LEP00000;1.07;;;;2.23;;
78;04LEP00002;1.23;;;;2.3;;
79;04LEP00004;1.17;;;;2.13;;
80;04LEP00006;1.08;;;;2.63;;
81;04LEP00008;1.06;;;;2.47;;
82;04LEP00010;1;;;;2.8;;
83;05LEP00100;1.1;;;;2.0847;;
84;05LEP00102;0.91;;;;5.3757;;
85;05LEP00104;1.05;;;;2.41;;
86;05LEP00106;1.11;;;;1.8553;;
87;05LEP00108;1.07;;;;1.9927;;
88;05LEP00110;1.11;;;;1.728;;
89;05LEP00112;1.12;;;;1.778;;
90;05LEP00114;1.09;;;;2.189;;
91;05LEP00116;1.12;;;;2.863;;
92;09LEP00000;1.19;;;;;;
93;09LEP00002;1.23;;;;;;
94;13LEP00000;;;;;;;
95;13LEP00002;;;;;;;
96;13LEP00004;1.14;;;;2.9767;;
97;13LEP00006;1.15;;;;3.048;;
98;09LEP00100;1.34;;;;2.8143;;
99;09LEP00102;1.27;;;;2.9737;;
100;09LEP00104;1.29;;;;3.1537;;
101;09LEP00106;1.22;;;;2.712;;
102;09LEP00108;1.32;;;;2.5873;;
103;09LEP00110;1.25;;;;2.8627;;
104;09LEP00112;1.21;;;;3.3443;;
105;02LEP00500;0.97;;;;2.8293;;
106;02LEP00502;1.23;;;;3.7307;;
107;02LEP00504;1.11;;;;2.8777;;
108;02LEP00506;1.01;;;;2.7327;;
109;02LEP00508;1.35;;;;;;
110;05LEP00200;;;;;1.039;;
111;05LEP00202;;4.3;;;2.4532;0.27544;0.0382
112;05LEP00204;;3;;;1.7781;0.20101;0.0265
113;05LEP00206;;;;;1.617;;
114;05LEP00208;;;;;1.1853;;
115;05LEP00210;;;;;;;
116;05LEP00212;;4.2;;;2.4604;0.27293;0.0257
117;05LEP00214;;;;;1.48;;
118;05LEP00216;;;;;2.5557;;
119;05LEP00218;;;;;;;
120;05LEP00220;;;;;3.411;;
121;05LEP00222;;;;;2.5267;;
122;05LEP00224;;;;;2.1897;;
123;05LEP00226;1.3;;;;0.7511;;
124;05LEP00228;;;;;1.7187;;
125;05LEP00230;;;;;1.6793;;
126;05LEP00232;;;;;2.167;;
127;05LEP00234;1.36;;;;0.7658;;
128;05LEP00236;1.26;;;;1.7327;;
129;05LEP00238;;;;;1.9617;;
130;05LEP00240;1.33;;;;1.2937;;
131;05LEP00242;1.25;;;;2.4777;;
132;05LEP00244;1.13;;;;2.7443;;
133;06LEP00100;1.19;3.71;;;2.353;;
134;06LEP00101;1.34;3.375;;;1.985;;
135;06LEP00102;1.39;4.975;;;3.653;;
