IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
463;01LEP00105;30;60;;;;;;;4;;;;570;9.2;154;44;;;;864;;;;;;;
41;03BOL00014;0;20;;;;2.67;;;5;;;6.3;147;178;746;52;;;;1534;;;;;;;
42;03BOL00016;0;20;;;;3.48;;;5;;;6;102;208;739;77;;;;1806;;;;;;;
46;03BOL00024;0;20;;;;3.54;;;5;;;6.1;114;229;1161;106;;;;1893;;9.57;;;;;
69;02LEP00500;0;20;;;;2.853;0.016493;0.152;5;;;6;36.25;62.33;411.89;63.45;4.74;0.94;1.63;1900.62;158.02;;;;;;
153;06LEP00208;0;20;6.5;;;;;;5;;;;45.12;398;945;112;;;;1333;638;;;;;;
172;06LEP00308;0;20;4.76;;;3.045;0.01557;0.155;5;5.21;;6.36;220.08;189;909.22;36.26;3.89;4.87;6.92;1744.97;;;;;;;
486;09LEP00202;0;20;;;;2.237;0.044207;0.15437;5;;;6.38;282.43;210.67;473;73;17.7;7.1;4.1;7888.49;225.67;;;;;;
490;02LEP00606;0;20;;;;1.8;0.039573;0.1525;5;;;6.46;133.27;177.33;1670.33;169;45.87;4.77;5.33;1071.33;426;;;;;;
758;14LEP00010;0;20;;;;2.129;0.05916;0.1282;5;4.69;;6.66;188.61;70.32;332.6;69.72;12.54;7.53;3.3;1647.38;171.79;12.339;16.62;9.98;;;
1109;14LEP01179;0;20;;;;1.895;0.0095;0.1754;5;;;;16.93;32.17;321.69;23.24;9.19;0;0.3;1920.35;75.27;;;;49.829;;
1405;14LEP02205;0;20;;;;2.521;0.01475;0.1946;5;;;;99.32;28.38;456.82;38.84;20.55;5.97;0.63;1886.73;105.02;;;;36.7549;;
1493;14LEP02293;0;20;;;;2.208;0.01585;0.1584;5;;;;190.13;29.9;450.13;16.94;15.32;10.74;1.45;1596.84;125.77;;;;20.123;;
2259;1JGF00052;0;20;;;;3.524;0.01609;0.2621;5;;;;92.84;98.42;479.06;59.68;2.8;2.71;0.48;530.7;143.67;;;;36.6429;;
2294;1JGF00087;0;20;;;;10.96;0.05237;0.4154;5;;;;345.37;315.62;1711.73;187.63;8.48;7.7;0.86;2083.86;153.75;;;;83.2357;;
2423;14LEP03023;0;20;;;;2.848;0.0133;0.1488;5;;;;126.75;74.86;465.3;42.7;15.96;3.38;0.68;2238.47;217.3;;;;;;
2569;14LEP03169;0;20;;;;3.349;0.02562;0.1982;5;;;;118.38;60.83;681.41;71.27;21.78;10.31;0.99;1909.39;151.04;;;;;;
2691;14LEP03291;0;20;;;;2.277;0.00995;0.1267;5;;;;102;63.11;304.88;41.57;11.53;4.23;1.23;2346.57;148.87;;;;;;
2803;16ML0011;;;;;;3.226;0.03;0.27;5;;;6.1;19.09;58.73;328.45;10.85;7.43;1.52;0.42;2143.48;65.57;12.6;;;;;
2841;17CET0034;;;;;287.287;3.667;0.02344;0.2796;5;;;6.03;82.4;15.42;608.87;95.86;5.37;5.06;1.32;2148.45;308.67;;;;;16.9709;16.9106
35;03BOL00002;0;20;;;;2.8;;;6;;;6.7;30;113;1134;70;;;;1670;;;;;;;
65;05OLEP00000;0;20;;;;2;0.034093;0.18917;6;;;;224.42;273.96;1202.88;89.33;37.42;0.89;1.71;1630.57;291.11;;;;;;
68.01;05OLEP00026;0;20;2.23;;;1.859;0.02103;0.2371;6;;;7.19;219.15;180.09;1426.83;305.49;65.4;4.39;2.2;837.97;334.85;;;;;;
620;11JG00024;0;20;;;;2.941;0.04242;0.1795;6;5.8;;6.9;66.3;192.98;3541.52;533.04;60.88;2.03;2.36;953.13;227.3;25.029;;28.04;;72.33;
698;11JG00176;0;20;;;;2.137;0.03723;0.1427;6;5.75;;7.16;90.25;153.94;1786.12;290.38;42.18;4.64;4.2;672.35;422.17;12.253;15.75;14.81;;270.88;
734;11JG00212;0;20;;;;3.145;0.04175;0.2538;6;5.59;;7.05;40.69;126.62;2990.1;234.35;10.13;1.32;5.84;794.04;247.37;18.989;25.43;21.28;;10.91;
735;11JG00213;0;20;;;;3.299;0.04481;0.2647;6;5.51;;7.15;52.6;121.33;3436.06;260.02;9.94;1.44;6.03;843.39;244.19;21.41;24.66;22.81;;47.73;
2483;14LEP03083;0;20;;;;1.342;0.00254;0.2417;6;;;;96.14;157.16;1309.86;67.84;13.75;2.47;1.34;1042.97;461.91;;;;;;
2683;14LEP03283;0;20;;;;2.46;0.00834;0.1299;6;;;;114.52;35.54;1207.06;62.73;20.63;10.9;1.65;1961.09;109.21;;;;;;
2956;17CET0149;;;;;375.192;2.046;0.01403;0.2056;6;;;6.99;188.94;28.65;1581.23;115.6;128.22;11.49;2.03;1034.88;377.05;;;;;40.4034;27.9661
2842;17CET0035;;;;;;;;;;;;;;;;;;;;;;;;;;;
2850;17CET0043;;;;;;;;;;;;;;;;;;;;;;;;;;;
2858;17CET0051;;;;;;;;;;;;;;;;;;;;;;;;;;;
2866;17CET0059;;;;;;;;;;;;;;;;;;;;;;;;;;;
407;01LEP00113;15;30;7.29;;;;;;3.37;;;;9.16;125.1;254;73;;;;1876;;;;;;;
407;01LEP00113;15;30;7.29;;;;;;3.37;3.92;;4.2;9.16;125.1;254;73;121;;;1876;1937;;;;;;
407;01LEP00113;15;30;7.29;;;;;;3.37;3.92;;4.2;9.16;125.1;254;73;121;;;1876;1937;;;;;;
466;01LEP00114;30;60;;;;;;;3.4;;;;120;106.2;277;108;;;;1922;;;;;;;
518;05LEP00350;0;20;3.6;;;1.961;0.03033;0.1741;3.6;;;;;;;;;;;;;;;;;;
399;01LEP00089;15;30;1.03;;;1.078;-0.00444;0.0439;3.73;;;;6.82;8.9;113;9;;;;559;;;;;;;
444;01LEP00045;30;60;;;;;;;3.74;;;;310;177.9;1299;322;;;;1030;;;;;;;
445;01LEP00048;30;60;;;;;;;3.74;;;;940;100.8;384;143;;;;1578;;;;;;;
