IDEN;M0.75;M5;M120;M420;M1440
22;32;25;13;11;8
23;62;44;23;18;14
24;40;36;25;21;15
25;69;55;31;25;18
26;90;80;62;53;42
27;88;72;50;41;33
28;88;62;26;19;14
29;59;45;26;21;15
30;40;30;20;18;14
31;23;16;9;8;6
32;22;17;11;9;7
33;43;26;15;13;8
49;65;61;53;46;35
50;74;66;52;39;33
51;47;41;30;25;18
52;29;12;6;2;1
53;16;13;7;6;3
54;28;20;12;8;6
55;62;54;34;18;18
56;70;54;34;24;18
57;41;26;17;15;10
58;85;67;35;20;12
59;56;43;23;18;11
60;35;19;11;6;5
61;13;9;3;4;2
62;70;66;58;46;37
63;27;19;11;10;5
64;27;16;9;7;4
65.04;56.94305694;43.95604396;25.97402597;19.98001998;14.98501499
66.08;93.86858398;84.88116637;58.91751548;45.93569003;34.9510685
67.03;65.98680264;49.990002;29.9940012;22.99540092;16.99660068
68.04;38.97661403;29.98201079;19.9880072;17.98920648;15.99040576
68.1;40.33051348;28.52646075;13.77139485;9.836710604;8.853039544
68.2;33.97961223;25.98440935;11.99280432;9.994003598;6.995802518
68.3;34.89531406;23.92821535;10.9670987;7.976071785;5.982053838
69;17.92471619;11.94981079;5.974905397;2.987452699;3.983270265
70;87.90155026;55.93735017;26.96979383;19.97762506;15.98210005
71;85.86261981;73.88178914;53.91373802;43.92971246;35.94249201
72;45.85326954;19.93620415;7.974481659;4.984051037;3.987240829
73;23.92344498;16.94577352;7.974481659;5.980861244;4.984051037
74;23.99040384;15.99360256;7.996801279;5.99760096;4.9980008
75;69.80454727;56.84084563;34.90227363;24.93019545;17.94974073
76;57.84959106;47.87552364;29.92220227;22.94035508;17.95332136
92;61.90095847;23.96166134;7.987220447;5.990415335;8.985623003
93;49.86039091;23.93298763;7.977662545;5.983246909;3.988831272
94;57.8726801;21.95170625;5.986828976;2.993414488;1.995609659
95;12.00240048;9.00180036;5.0010002;5.0010002;4.00080016
96;20.28218695;14.99118166;7.054673721;5.291005291;4.409171076
97;23;15;7;5;4
98;19.84126984;14.88095238;7.936507937;5.952380952;5.952380952
99;18.73767258;14.79289941;7.889546351;5.917159763;4.930966469
100;20.15355086;14.39539347;7.677543186;5.75815739;3.838771593
101;15.26032316;13.46499102;6.283662478;4.488330341;3.590664273
102;16.66666667;13.7254902;7.843137255;5.882352941;4.901960784
103;41;15;6;6;6
104;36.1328125;22.4609375;6.8359375;5.859375;3.90625
105;71.02272727;59.65909091;36.93181818;28.40909091;20.83333333
106;19.5;14;7.5;7;6
107;38.5;21;7.5;5;4
108;21.5;13.5;8;4;3
109;34.35804702;15.37070524;8.137432188;5.424954792;5.424954792
111;61.40350877;38.01169591;24.36647173;19.49317739;14.61988304
112;22.417154;14.61988304;7.797270955;6.822612086;5.847953216
113;91.68241966;78.44990548;53.87523629;41.5879017;31.19092628
114;65.4296875;38.0859375;26.3671875;21.484375;16.6015625
115;61.40350877;38.98635478;24.36647173;21.44249513;17.54385965
116;67.77996071;59.92141454;39.29273084;29.46954813;20.62868369
117;59.80392157;48.03921569;29.41176471;23.52941176;20.58823529
118;39.81481481;24.07407407;12.03703704;9.259259259;6.481481481
119;74.37275986;67.20430108;48.38709677;38.53046595;31.36200717
120;41.26679463;23.03262956;9.596928983;6.717850288;3.838771593
121;67.7480916;62.02290076;49.61832061;42.9389313;36.25954198
122;80.55009823;75.63850688;59.92141454;54.02750491;44.2043222
125;46.35108481;35.50295858;20.71005917;16.765286;12.82051282
126;55;45;28;21;14
127;26.64636467;21.88808527;13.32318234;12.37152646;8.564902931
128;54.00696864;43.55400697;28.7456446;22.64808362;18.29268293
129;41.74067496;33.74777975;18.65008881;14.20959147;8.880994671
130;35.21126761;27.28873239;17.6056338;14.08450704;10.56338028
131;48.61111111;36.70634921;20.83333333;13.88888889;9.920634921
132;70;63;45;38;29
192;14.1;11.1;8.1;6.1;5.1
194;47.8;39.3;26;20;14.4
195;56.8;46;28.4;22.5;14.7
196;63.5;53.4;35.3;26.2;19.2
197;62.4;51.3;32.2;24.1;17.1
198;52.8;42.8;26.9;21.9;14.9
236;41.3;37.3;26.2;21.2;15.1
243;21;10.7;4.5;3.7;2
244;43.43413842;19.78891821;5.074081591;3.653338746;2.029632636
246;17;10.4;5.5;4.8;3
247;40;19.6;9.5;6.9;3.8
248;27.1;15.3;7.2;6;2.6
249;69.9;44.3;19.8;13.8;8.9
250;67.5;40.3;15.7;10.5;5.8
251;43.6;21.5;10.8;8.1;5.1
252;33.4;18.8;9.9;7.9;5.5
253;37.5;20.4;8.3;6;4.5
254;60.6;43.8;21.8;13.7;7.3
255;61.4;44.5;32;13.7;7.1
256;57.9;42.9;22;12;6
257;64;46.1;24.4;15;7.9
258;24.3;11.5;6.6;4.6;3.6
259;11.1;6.5;4.8;3.4;2.9
260;6;2.5;2.5;1.4;1.2
261;30.4;19.2;13.2;9.9;6.3
262;21.5;14.4;10.8;8.6;6.6
263;90.6;73.5;54.6;43.8;33.8
264;20.2;14.1;9.2;8.1;7.2
265;15.1;9.5;5.7;4.9;3.2
266;18.2;10.8;5.7;4.9;3.8
267;13.1;7.5;4.6;3.8;2.3
268;20.3;12.1;5.9;4.9;3.3
269;20.2;11.9;5.7;4.9;3.3
270;12.5;7.078572151;3.842653453;3.033673779;1.719081808
271;25;14.6998775;8.370763577;6.124948959;4.185381788
272;21.4;14.1706596;8.155775308;6.116831481;4.893465185
273;20.4;13.12843476;7.123956849;5.597394667;4.884998982
274;19.5;13.02666395;7.123956849;6.004477916;4.884998982
275;39;30.7;14.5;10.7;7.7
276;45.3;36.26666667;16.66666667;12;8
277;47.9;37.16525812;23.41920375;18.42989512;14.35699012
278;33.5;25.56818182;16.23376623;12.88555195;10.1461039
279;40.7;31.34222041;19.33448662;14.85702656;11.19365015
280;40.7;35.13953962;24.44489713;19.86147892;15.2780607
281;31.6;25.13938165;16.32032438;13.68474404;10.33958439
282;38.2;28.48712992;17.29575745;13.73486621;10.27571472
283;27.4;22.29880397;15.20372998;12.66977498;10.13581999
284;8.1;6.244334777;4.129318159;3.726457851;3.222882466
285;5.8;4.43369609;3.022974607;2.619911326;2.519145506
286;8.1;6.241820195;4.329004329;4.329004329;3.825631733
287;8.3;7.057874571;5.04133898;4.436378302;3.528937286
288;45.7;37.56726571;24.46948929;19.79896436;9.239516702
289;42.2;33.57070193;21.36317396;16.98880977;13.22482197
290;51.9;40.88689992;26.44426363;20.34174125;15.35801465
291;41.7;32.67508143;21.3762215;17.81351792;13.43648208
292;50;38.19491641;24.33056953;18.89357075;13.86434688
293;57.57884028;45.98168871;28.68769074;22.17700916;16.27670397
294;41.6;16.00080507;3.019019825;1.912045889;1.006339942
295;6.8;3.821399839;1.91069992;1.91069992;1.10619469
296;6.8;5.034739704;3.121538616;2.517369852;1.611116705
297;10.3;5.525972069;2.913694364;2.411333266;1.205666633
298;9.8;6.890960681;3.952168626;2.938792055;2.026753141
299;32.6;15.61391057;5.981952753;4.156950218;3.041670891
300;6;4.422555031;2.412302744;2.110764901;1.105638758
301;6.6;4.833350116;3.020843822;2.920149028;2.013895882
302;5.8;3.822553063;2.112463535;1.911276532;1.106528518
303;6.3;4.833350116;3.020843822;2.920149028;2.013895882
304;4.8;3.815644141;2.40988051;2.008233758;1.506175319
305;10.7;5.839122118;3.926306252;3.624282694;2.214839424
306;10.1;6.336753168;3.922751961;2.916918125;2.011667673
307;12.6;9.137463601;5.823877899;4.016467517;3.815644141
308;18.7;9.480584972;4.94200706;3.328290469;2.824004034
309;12;7.521058965;4.813477738;3.610108303;2.807862014
310;12;8.232931727;5.823293173;3.915662651;3.012048193
311;11.9;3.516881029;1.909163987;1.306270096;1.306270096
312;10.4;7.24710619;5.032712632;3.8248616;3.321590337
314;7;5.020080321;3.313253012;2.81124498;2.008032129
315;11.3;6.943046891;3.823706983;2.817468303;1.911853492
316;13;6.214292874;3.006915907;2.004610604;1.804149544
317;6.5;3.516881029;2.210610932;1.808681672;1.808681672
318;22.2;7.267588574;2.826284445;2.018774604;1.816897143
319;26.2;8.052340211;2.818319074;1.811776548;1.811776548
320;20.2;5.052546483;1.818916734;0.909458367;0.909458367
321;17.2;8.31210618;4.021986862;2.681324574;2.010993431
322;22.6;9.798657718;4.295302013;2.953020134;2.684563758
323;40.1;23.2699312;8.296236342;6.070416835;4.046944557
324;32.4;24.20016407;14.35602953;10.25430681;8.203445447
325;11.8;10.09693053;6.731287022;5.385029618;4.442649435
326;17;14.14224226;12.29760197;8.198401312;6.148800984
327;18.7;11.49425287;6.76132522;5.409060176;4.056795132
328;18.7;13.69120239;8.133387556;6.777822963;5.422258371
329;38.5;20.86743044;10.22913257;7.160392799;5.114566285
330;35.3;31.50889583;23.08841505;17.92747521;13.58142062
331;4.3;3.522189796;2.012679883;2.012679883;1.20760793
332;7.9;5.551069843;3.229713363;3.027856278;2.523213565
333;7.4;5.551069843;3.12878482;3.027856278;2.220427937
334;9.9;7.060010086;4.034291478;3.126575895;2.521432173
335;14;9.640755023;5.277044855;4.262228537;3.247412218
336;13.4;8.07183937;4.237715669;3.228735748;3.026939764
337;24;10.5;4.2;2.8;0.2
338;49.3;24.7;4;2.6;0.8
339;71.64603207;60.2800893;22.73188553;10.35112645;3.044448955
340;10.9;7.8;5.2;4.4;3
341;58.2;35.5;21.4;16.6;11.7
342;16.1;8.9;4.9;3.9;2.7
344;47.4;28.2;19.2;16.1;12.7
345;51.4;27.2;15.7;13.7;10.3
346;34.2;17.90801791;6.715506716;6.105006105;4.273504274
347;28;16.8;7.9;6.1;4.5
348;53.3;37.2;19.7;13.5;7.2
349;62.3;46.2;23.7;15.9;9
350;62.6;36.7;19.2;11.3;6.3
351;66.5;47.4;25.8;16.5;9.9
352;23.2;7.6;4;2.6;1.9
353;6;3.5;2.8;2.1;1.9
354;1.5;1;0.9;0.5;0.4
355;24.1;13.7;9.6;6.8;4.8
356;14.8;10.1;7.8;5.9;5.2
357;107.5;99.1;82.6;72.03;60.3
358;12.6;9;6.7;6.1;6
359;4.4;2.7;1.9;1.8;1.5
360;8;4.9;2.8;2.7;2.1
361;8.5;4.1;2.6;2;1.5
362;18.2;10.3;4.9;4.1;3.3
363;9;4.9;2.3;2.2;2
364;6.7;3.719340571;2.211499799;1.909931645;1.206272618
365;15.7;9.807886754;6.976744186;6.066734075;4.85338726
