IDEN;M0.75;M5;M120;M420;M1440
68.1;35.9856057576969;26.9892043182727;15.9936025589764;13.9944022391044;11.9952019192323
68.2;39.9042298483639;29.9281723862729;17.9569034317638;15.9616919393456;12.3703112529928
68.3;40.7134548274525;31.0197751066305;19.387359441644;17.4486234974796;14.540519581233
234;30.229746070133;22.4563827949559;12.0918984280532;11.228191397478;7.77336327517706
243;21.9912035185926;10.9956017592963;4.99800079968013;3.9984006397441;3.19872051179528
246;14.5;9;4.5;4;3
248;25.5905511811024;13.7795275590551;6.88976377952756;5.90551181102362;3.93700787401575
251;42.2479858518373;21.6152485753586;10.8076242876793;8.84260168991943;7.8600903910395
253;32.7493040772884;18.0121172425086;6.54986081545767;4.91239561159325;4.91239561159325
258;19.2744884847287;8.89591776218247;4.94217653454581;4.94217653454581;3.95374122763665
259;8.46276383910793;6.47152528872959;3.98247710075667;3.98247710075667;3.48466746316209
272;18.8679245283019;13.4061569016882;6.95134061569017;5.95829195630586;3.97219463753724
370.18;28.927680798005;17.4563591022444;9.47630922693267;8.97755610972569;8.97755610972569
372;48;40;25;20;15
387;72;60;37;30;13
390;4;4;4;4;2
407;98.3899821109123;87.4577618763665;62.6118067978533;52.673424766448;42.7350427350427
408;10.5495830402894;8.03777755450618;5.02361097156636;4.52124987440973;3.01416658293982
418;66.8764752163651;48.1904012588513;17.7025963808025;11.801730920535;6.88434303697876
419;57.6655398687612;43.7462716245775;21.8731358122887;17.8962020282362;11.9308013521575
420;54.9450549450549;43.956043956044;14.985014985015;19.98001998002;12.987012987013
421;24.1977906365071;14.7290899526565;6.83850604944766;5.78642819568648;4.41872698579695
422;53;40;24;21;15
423;42.87487306781;29.3354394674489;16.9242920004513;15.7960058670879;7.89800293354395
424;57;52;34;27;11
428;12;10;5;5;2
430.06;11.4427860696517;9.95024875621891;7.96019900497512;7.96019900497512;6.96517412935323
499;75.9681304428386;57.4393181397072;30.5725403001668;24.0874559940708;14.8230498425051
516;74.8951467944877;64.9091272218893;32.9538645895746;19.9720391451967;13.9804274016377
527;97.1258671952428;90.1883052527255;69.3756194251734;59.4648166501487;51.5361744301288
528;79.6812749003984;72.7091633466135;20.9163346613546;15.9362549800797;14.9402390438247
529;87.215064420218;68.3845391476709;39.6432111000991;31.7145688800793;24.7770069375619
609;87.7365930599369;85.7649842271293;78.8643533123028;67.0347003154574;52.2476340694006
610;68;42;34;28;23
611;87.4577618763665;85.4700854700855;77.5193798449612;69.568674219837;57.6426157821507
615;92.5925925925926;79.6495420151334;58.7415372361609;47.78972520908;38.8291517323775
616;87.8925538218448;80.979656330239;68.1414181315426;57.2782935018764;45.427612087695
620;85.8496151568976;79.9289520426288;68.0876258140912;61.1801855141109;51.3124136569962
621;81.9996048211816;78.0478166370283;67.1803991306066;57.3009286702233;47.4214582098399
623;96.6135458167331;92.6294820717131;77.6892430278884;67.7290836653386;54.7808764940239
625;91.9632147141143;88.9644142343063;71.9712115153938;62.9748100759696;49.9800079968013
626;84.7107438016529;67.1487603305785;10.3305785123967;8.26446280991736;6.19834710743802
630;78.045813906345;61.8285019258058;14.1901479829718;11.1494019866207;8.10865599026961
632;49.9600319744205;40.9672262190248;26.978417266187;22.9816147082334;18.9848121502798
635;85.9484309414351;65.9604237457525;33.9796122326604;25.9844093543874;15.9904057565461
636;93.4765314240255;87.5099443118536;69.6101829753381;58.6714399363564;43.7549721559268
637;18.981018981019;13.986013986014;8.99100899100899;6.99300699300699;4.995004995005
650;41.3548641197322;32.4931075226467;21.6620716817645;16.7388735722725;14.7695943284758
652;52.6420341676599;41.7163289630512;26.8176400476758;22.844656336909;17.8784266984505
670;34.8258706467662;28.8557213930348;17.910447761194;15.9203980099502;10.9452736318408
671;43.956043956044;34.965034965035;19.98001998002;15.984015984016;10.989010989011
676;79.5544948289578;74.582338902148;63.6435958631663;55.6881463802705;44.7494033412888
678;52.7921163772877;35.1947442515251;18.7705302674801;14.07789770061;8.21210699202252
681;46.3236743544254;33.5107431500099;19.712201852947;16.7553715750049;11.8273211117682
682;89.9280575539568;83.9328537170264;71.9424460431655;63.9488409272582;51.9584332533973
684;99.304865938431;96.3257199602781;80.4369414101291;71.4995034756703;58.5898709036743
685;96.4187327823691;85.5962219598583;61.9834710743802;52.1448248720976;40.3384494293585
687;85.385226370135;70.4924543288324;45.671167593328;38.7212073073868;31.7712470214456
690;80.4050029779631;62.5372245384157;39.7061743101052;33.7502481635894;25.8090133015684
691;92.9070929070929;84.9150849150849;58.9410589410589;50.949050949051;39.96003996004
692;64.7152528872959;50.7765830346476;33.8510553564317;29.868578255675;21.9036240541617
693;94.7347427203829;79.7766254487435;41.8827283605903;29.9162345432788;17.9497407259673
695;33.8577972515435;23.8996215893248;12.9456283608843;11.9498107946624;8.96235809599681
696;15.8321789036216;11.8741341777162;7.91608945181081;7.91608945181081;6.92657827033445
699;61.3982966924143;43.5729847494553;26.7379679144385;21.7864923747277;16.8350168350168
701;55.7103064066852;33.8241146040589;19.8965380023876;15.9172304019101;10.9430959013132
703;59.7966912497508;46.8407414789715;33.8847917081921;29.8983456248754;23.9186764999003
704;96.6135458167331;79.6812749003984;51.792828685259;42.8286852589641;34.8605577689243
708;66.257911392405;59.3354430379747;44.501582278481;39.5569620253165;32.6344936708861
709;86.9652139144342;81.9672131147541;70.9716113554578;58.9764094362255;44.9820071971211
712;85.8496151568976;64.1405170712453;42.431418985593;36.5107558713242;29.603315571344
716;98.4251968503937;96.4566929133858;82.6771653543307;73.8188976377953;63.9763779527559
725;56.3352441193912;43.4868551097055;28.6617908677604;23.7201027871121;17.7900770903341
726;57.6197099145639;44.7049473475065;31.790184780449;26.8229684085039;21.8557520365587
727;55.621771950735;43.7028208184346;29.7973778307509;24.8311481922924;19.8649185538339
728;51.2113452826472;38.4085089619854;24.6208390781958;20.6815048256845;15.7573370100453
729;53.3702312710022;41.5101798774461;27.6734532516308;22.7317651709824;17.7900770903341
730;55.379746835443;42.5237341772152;29.6677215189873;24.7231012658228;18.7895569620253
731;95.6796212270665;78.9110278161373;49.3193923850858;40.4419017557704;30.5780232787532
732;91.8163672654691;75.8483033932136;47.9041916167665;39.9201596806387;29.940119760479
733;86.6188769414576;71.6845878136201;47.78972520908;39.8247710075667;30.8641975308642
734;92.5743549340161;77.8018514870987;50.2265117195194;41.3630096513689;32.4995075832184
735;89.5522388059701;75.6218905472637;49.7512437810945;40.7960199004975;32.8358208955224
736;89.7967238997434;74.00828892836;46.3785277284389;38.4843102427472;29.603315571344
738;77.5422065174715;65.7636435021594;51.0404397330192;44.1696113074205;34.3541421279937
739;85.4361215974568;70.5344724816213;49.6721637194516;42.7180607987284;32.7836280548381
741;85.4616895874263;72.6915520628684;53.0451866404715;45.1866404715128;35.3634577603143
824;14.2798857609139;11.2199102407181;7.13994288045696;6.11995104039168;5.0999592003264
845;13.8026224982747;9.36606526668638;5.91540964211772;3.94360642807848;3.94360642807848
888;63.5551142005958;53.6246276067527;32.7706057596822;25.8192651439921;20.8540218470705
1738;43.5043504350435;33.5033503350335;9.5009500950095;5.000500050005;3.000300030003
1740;18.0144115292234;14.0112089671737;9.00720576461169;7.50600480384307;5.50440352281825
1748;21.9210840972499;11.9569549621363;6.97489039457951;5.97847748106815;4.48385811080112
1755;42.5340272217774;30.5244195356285;17.013610888711;13.0104083266613;9.00720576461169
1762;59.5356221472514;38.6981543957134;18.8529470132963;15.8761659059337;9.92260369120857
1763;53.6886060847087;33.8039371644462;16.9019685822231;13.9192682441837;8.94810101411812
1764;65.0390234140484;44.0264158495097;22.0132079247549;17.0102061236742;12.0072043225936
1765;61.9752099160336;38.984406237505;18.9924030387845;15.9936025589764;10.9956017592963
1766;72.8688360950289;45.91734877221;20.9622679177481;16.9694549810341;10.9802355759633
2223;26.5;16;8.25;7.25;5.5
2224;30.5;16;8.25;7;5.5
2231;23.7969328397673;12.6916975145426;6.34584875727129;5.81702802749868;5.28820729772607
2232;25.5127563781891;17.5087543771886;9.50475237618809;8.0040020010005;7.00350175087544
2233;22.977022977023;13.986013986014;5.99400599400599;5.99400599400599;3.996003996004
2235;17;13;8;7.5;6
2237;36.7610531544958;23.3482364629906;11.4257327372081;9.93541977148534;7.94833581718828
2238;20.5;12;6.5;6;4
2239;20.7632983982598;11.8647419418628;5.93237097093138;3.95491398062092;2.96618548546569
2242;32.8423566878981;22.890127388535;9.95222929936306;5.97133757961783;2.98566878980892
2243;34.4217151848938;18.6860739575138;6.88434303697876;5.90086546026751;2.95043273013375
2244;16.3820492454329;10.4249404289118;5.46068308181096;2.97855440826052;1.98570293884035
2246;31.702001188825;22.785813354468;11.8882504458094;7.92550029720626;4.95343768575391
2250;18.675054059367;10.8118734027914;5.89738549243169;5.89738549243169;3.93159032828779
2251;23.9509484575589;14.3705690745354;5.74822762981414;3.83215175320943;2.87411381490707
2252;41.07177782124;22.4916878544886;8.80109524740857;7.82319577547428;4.88949735967143
2253;52.5480864564743;32.7186198691255;16.8550465992465;13.8806266111442;8.92325996430696
2254;50.3875968992248;31.9767441860465;15.5038759689922;13.5658914728682;9.68992248062015
2255;65.3961136023916;45.7772795216741;22.4215246636771;16.8161434977578;9.3423019431988
2256;71.8666155615178;50.7857416634726;;16.289766193944;7.6657723265619
2257;62.7365066719777;42.8201553475403;15.9330810595499;11.9498107946624;6.97072296355308
2258;49.0098019603921;29.005801160232;14.002800560112;10.00200040008;5.00100020004001
2259;32.9472843450479;18.9696485623003;8.98562300319489;6.9888178913738;4.99201277955272
2260;15.9430954132941;10.4243316163846;4.9055678194751;4.29237184204072;3.06597988717194
2261;26.5930757651781;17.059708981435;10.0351229302559;8.02809834420472;5.51931761164074
2262;22.9511332122024;12.4318638232763;6.69408052022569;5.73778330305059;4.30333747728794
2263;25.9388744784031;27.066651629638;9.02221720987933;6.7666629074095;5.63888575617458
2264;42.7682737169518;19.4401244167963;9.72006220839813;5.83203732503888;4.86003110419907
2265;40.7797891386513;24.8657250845435;13.9248060473443;9.94629003381739;7.95703202705391
2266;56.6713064227481;35.7924040564725;16.9019685822231;11.9308013521575;10.9365679061444
2267;33.6500395882819;15.8353127474268;9.89707046714173;5.93824228028503;4.94853523357086
2268;20.8457415128052;11.9118522930316;7.94123486202104;3.97061743101052;3.97061743101052
2270;29.1627469426152;15.0517403574788;9.40733772342427;5.64440263405456;6.58513640639699
2271;21.1619853789919;7.69526741054252;5.77145055790689;1.92381685263563;1.92381685263563
2272;41.5430267062315;19.782393669634;8.90207715133531;5.93471810089021;4.94559841740851
2273;47.1050049067713;29.4406280667321;16.6830225711482;10.7948969578018;9.8135426889107
2274;57.4257425742574;37.6237623762376;21.7821782178218;14.8514851485149;13.8613861386139
2276;67.7932796227157;49.1255649439969;21.6152485753586;11.7901355865592;6.87757909215956
2277;51.4611284690314;32.1632052931446;18.3789744532255;12.8652821172579;10.108435949274
2278;68.0205047318612;48.3044164037855;23.6593059936909;15.7728706624606;13.801261829653
2279;49.7159090909091;27.3944805194805;17.2483766233766;12.1753246753247;10.1461038961039
2280;41.0821643286573;20.0400801603206;10.0200400801603;6.01202404809619;5.01002004008016
2281;26.7009493670886;12.8560126582278;7.91139240506329;4.94462025316456;4.94462025316456
2282;26.480972930561;14.7116516280894;9.80776775205963;5.88466065123578;6.86543742644174
2284;20.7550899387231;11.860051393556;7.90670092903736;5.93002569677802;5.93002569677802
2285;16.9356445507073;9.96214385335724;2.98864315600717;2.98864315600717;1.99242877067145
2286;53.2877538709029;33.1791675045244;15.0814397747838;13.070581138146;8.04343454655138
2287;50;35;16;14;10
2288;64.2699337216308;46.1940148624222;22.0927897168106;17.0717011448082;13.0548302872063
2289;62.3124855758135;47.3113316408955;27.6944380336949;23.0786983614124;18.4629586891299
2291;50.7518796992481;37.593984962406;20.6766917293233;18.796992481203;14.0977443609023
2292;51.5865291025891;36.0132372980339;15.5732918045552;10.7066381156317;7.78664590227759
2338;40.9516380655226;32.1762870514821;20.4758190327613;13.6505460218409;13.6505460218409
2349;52.9682190685589;43.9736158305017;25.9844093543874;19.9880071956826;13.9916050369778
2350;23.4420785309631;18.5583121703458;11.7210392654815;7.81402617698769;8.79077944911116
2351;64.8573139093993;53.8814607862702;27.9385352225105;21.9517062462582;19.9560965875075
2352;53.1617235590375;44.7677672076105;29.845178138407;24.2492072374557;17.3475097929491
2353;76.2727439808859;60.6506156956442;38.5958463517736;25.7305642345157;23.8926667891932
2354;36.2042682926829;30.4878048780488;17.1493902439024;14.2911585365854;13.3384146341463
2357;29.9850074962519;12.3152709359606;5.88991218676376;3.74812593703148;2.67723281216535
2359;82.9834033193361;56.9886022795441;22.995400919816;9.99800039992002;7.99840031993601
2362;;51.8289050399142;19.0635053020374;16.0848325985941;15.4890980579054
2367;47.576568539994;22.3015165031222;6.93824957874913;3.9647140449995;4.95589255624938
2379;55.7994877424076;40.2488108305891;27.4423710208562;21.953896816685;11.6172703988291
