IDEN;S;Si;Clay;Carbon;Sulfur;Nitrogen;Method;LOI
1803;86,7;6,6;6,6;1,099;0;0,08455;6;2,3
1804;90,7;2,7;6,7;0,396;0;0,01896;6;0,6
1805;91,4;6;2,7;0,396;0;0,01134;6;0,3
1806;84,1;8;8;1,101;0;0,0735;6;2,2
1807;89,4;5,3;5,3;0,418;0;0,02236;6;0,7
1808;82,7;14,7;2,7;0,346;0;0,02429;6;0,3
1809;65,6;18,5;15,9;1,169;0;0,07993;6;2,4
1810;51;37,1;11,9;0,357;0;0,01925;6;0,6
1811;52,5;40,9;6,6;0,532;0;0,01586;6;0,4
1812;56,3;31,8;11,9;1,064;0;0,07473;6;2,0
1813;45,8;43,7;10,6;0,356;0;0,04447;6;0,5
1814;44,4;48,9;6,6;0,351;0;0,03658;6;0,4
1815;43,6;16,8;39,6;2,127;0;0,148;7;5,5
1816;25,9;16,6;57,4;0,517;0;0,05608;6;2,6
1817;16,3;20,9;62,8;0,473;0;0,04359;6;1,8
1818;32,2;22,6;45,2;2,67;0,00975;0,1765;7;5,9
1819;37,4;17,3;45,3;0,531;0;0,03867;6;2,6
1820;12;21,5;66,4;0,582;0;0,03909;6;1,9
1821;23,4;38,7;37,9;2,484;0,00668;0,1735;6;4,9
1822;26,8;34,1;39,1;1,938;0,00582;0,1468;6;4,3
1823;33,3;30,4;36,3;2,052;0;0,153;6;4,0
1824;27,2;34,7;38,1;2,167;0,0084;0,15;6;4,7
1825;32,4;37,5;30,1;2,261;0,00144;0,1635;6;4,8
1826;27,8;39,8;32,4;2,596;0,0191;0,1727;7;5,3
1827;32,4;36,3;31,3;2,069;0,00399;0,1272;6;4,2
1828;29,6;37,8;32,5;2,661;0,01563;0,168;7;5,2
1829;34;36,6;29,3;2,566;0,01141;0,1617;6;4,9
1830;32,6;32,4;34,9;1,819;0,00335;0,1226;6;4,0
1831;29,7;38,2;32,1;2,618;0,01402;0,1743;7;5,3
1832;35,3;36;28,7;2,368;0,00902;0,1468;6;4,8
1833;32,5;35,4;32,1;2,47;0,0068;0,1641;6;5,0
1834;32,6;29,9;37,4;2,636;0,01385;0,1806;7;5,4
1835;25;35,8;39,1;2,395;0;0,1672;7;5,1
1836;26,7;23,3;50;1,34;0;0,1117;6;3,6
1837;22,5;32,5;45;2,647;0,01165;0,1916;7;6,0
1838;25,2;28,3;46,5;2,69;0,00926;0,1902;7;6,0
1839;23,5;27;49,5;1,678;0,00844;0,126;6;4,1
1840;20,9;34,7;44,5;2,191;0,00384;0,1615;6;5,0
1841;29,2;35,7;35,1;1,445;0;0,1054;6;3,7
1842;50,1;26,6;23,3;0,993;0;0,09346;6;2,7
1843;29,1;35,4;35,4;1,443;0;0,1101;6;3,9
1844;32,6;32,7;34,7;1,803;0;0,1342;6;4,5
1845;42,1;30;28;1,623;0;0,1104;6;4,3
1846;48,4;26,6;25;2,343;0;0,164;7;5,3
1847;48,1;27,3;24,6;2,014;0,00338;0,188;6;4,8
1848;41,4;29;29,6;2,297;0,00427;0,1985;7;5,4
1849;33,5;31,3;35,3;1,91;0;0,1708;6;4,8
1850;28,5;30,8;40,7;2,122;0,00351;0,1707;7;5,1
1851;25,9;32;42;1,952;0,01336;0,1823;7;5,5
1852;27,6;29,1;43,3;1,95;0;0,1708;6;4,6
1853;20,3;29;50,7;1,795;0,00373;0,1586;6;4,3
1854;22,6;28,3;49,1;1,761;0,00129;0,1623;6;4,5
1855;17;33,9;49,1;2,027;0,00678;0,1779;7;5,2
1856;18,1;25;56,9;2,797;0,01177;0,2304;7;6,2
1857;17,1;31,6;51,4;2,77;0,01621;0,2216;7;6,5
1858;15,7;25,4;58,9;2,957;0,01341;0,2362;7;6,8
1859;13,6;28,3;58,2;2,127;0;0,1743;7;5,4
1860;21,9;25,7;52,3;2,27;0,00697;0,1946;7;5,6
1861;9,5;29,9;60,7;2,01;0;0,1681;7;5,5
1862;25,3;24,7;50;1,501;0,00635;0,1318;6;4,0
1863;13,2;32,5;54,2;1,781;0,00759;0,1705;6;4,4
1864;17,5;31,7;50,8;1,751;0,00122;0,1533;6;4,2
1865;17,1;29;53,9;1,784;0;0,1396;6;4,7
1866;18,5;34,1;47,4;1,743;0;0,1416;6;4,5
1867;7,8;43,2;49;1,858;0,00921;0,1458;6;4,8
1868;18,3;25,4;56,3;2,272;0,00138;0,173;7;5,4
1869;13,8;30,9;55,4;1,588;0,00926;0,1342;6;4,4
1870;26,8;22,3;50,9;1,632;0,02968;0,1274;6;3,9
1871;6,2;26,9;66,9;1,337;0;0,114;6;4,2
1872;13,9;26,5;59,6;1,838;0,00649;0,1644;6;4,8
1873;13;24,5;62,5;1,869;0,00627;0,1448;6;4,6
1874;15,4;44;40,7;2,203;0,00358;0,1714;7;5,3
