IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
22;1.126;2.5Y;4;3;1276.36487217467;22.999016196;3130.073704928;140.3745996079;351.12700595;305.114732467
23;1.217;2.5Y;6;3;958.456223495062;25.8128595481482;2202.5834278963;59.9054150258333;373.859062157407;327.230849358333
24;0.8825;10YR;4;3;3770.60454524133;32.702692898;6928.485626228;600.6715556079;1167.52050473;617.726225187
25;0.9485;2.5Y;5;2;1890.13846991154;26.775519475;4344.36666368077;118.924359180673;490.692318009615;260.219229756731
26;1.1205;2.5Y;5;3;2727.80711228708;19.86801;5436.07849921225;398.616121518265;554.019223602041;970.427192639796
27;1.183;2.5Y;6;2;2129.63110861361;21.9718170816327;3222.18554176326;99.6448227223469;468.603158295918;678.654950190816
28;1.0005;10YR;3;1;2187.34273261761;152.713021224528;3930.28188795094;221.439415554623;858.841259933962;643.526662251887
29;0.9655;2.5Y;4;3;2082.50652875769;39.2110880365385;3486.20906493077;309.500979142212;546.911800125;497.634636525962
30;1.247;2.5Y;4;3;836.557780667924;27.9636200358491;2314.24301889434;118.766642554623;456.733996160377;269.775079195283
31;1.199;2.5Y;4;3;1876.4818313963;27.0530238333333;1799.46678113704;69.4350060628704;442.753281231482;408.755699247222
32;1.245;10YR;4;2;1335.7812731034;17.4465603632653;1454.68991625306;16.6915974488776;421.482237683673;221.405268313265
33;1.0425;2.5Y;5;2;1243.55847010588;23.5462487803922;1993.19795777255;37.3975882136275;553.093392676471;144.061281497059
49;1.113;2.5Y;5;2;2711.5941972717;20.1564618603774;3535.1124888;268.855993479151;560.179114650943;769.879245459434
50;1.238;2.5Y;6;2;1968.60542606538;19.9936242807692;3012.62067021923;103.260546488365;411.203021471154;604.833419602885
51;1.288;2.5Y;6;3;961.174544308;25.208889618;2969.433781728;157.7420786679;385.13548503;327.375168087
52;1.2645;2.5Y;5;6;8900.83061843333;52.5834910537037;7083.65115576667;83.038427729537;1058.88726234259;1942.97640313611
53;1.327;2.5Y;4;3;6058.58549806296;56.5311736833333;3723.71472243333;168.147131507315;760.924482898148;1473.73247109907
54;1.4155;2.5Y;5;4;1686.57623856538;27.6890652230769;2843.8477432;98.2401331806731;834.530791086538;227.719064583654
55;1.223;2.5Y;5;3;2212.70112028518;27.5556204611111;4742.61878817407;802.80772482213;513.573037712963;435.426831469444
56;1.2705;2.5Y;6;3;1787.87794324815;24.0128699259259;5815.49384465556;701.739070007315;571.264532527778;334.76657339537
57;1.2665;2.5Y;5;3;1060.8835457375;26.42789391875;2901.81269221667;57.0125777582292;310.921067739583;198.432917694792
58;1.0685;2.5Y;6;3;1747.95888032766;33.6582341255319;5682.88952896596;95.244954285;795.143353117021;375.551930603192
59;1.285;10YR;6;3;1646.80503217736;30.3906788283019;4335.8179238;173.128696215;354.191460160377;382.985271685849
60;1.1475;10YR;5;2;3195.059775308;46.522692258;1924.443264528;18.3106436619;317.52169625;408.461758987
61;1.2445;2.5Y;4;3;1855.79130844583;27.7391223375;446.4971568;8.22841675822917;307.402243614583;144.347426673958
