IDEN;1_2mm;0.5_1.0mm;0.25_0.5mm;0.1_0.25mm;0.05_0.01mm
68.1;5.823332678;6.629942947;14.97147354;22.89986229;7.711981114
68.2;6.636018389;8.674795123;16.33020188;22.82630422;6.695982411
68.3;6.859421735;9.312063809;16.63010967;21.89431705;6.420737787
183;12.29;15.65;8.34;6.04;4.21
184;11.67;25.17;14.99;5.41;3.31
185;13.67;17.29;10;6.31;5.65
186;11.23;17.84;11.13;5.77;4.77
187;11.21;24.47;18.88;5.18;3.25
188;17.87;19.15;7.92;6.83;5.16
189;16.22;27.41;12.75;5.71;3.24
190;6.51;29.89;41.92;8.04;1.57
191;16.18;40.02;26.6;4.04;1.09
192;4.5;26.8;38.2;16;1.4
193;13.24;54.12;15.82;2.1;0.77
194;16.8;20.1;5.6;0.3;3.9
195;13.8;15.2;8.1;2.9;2.4
196;7.9;13.1;7.8;2.5;2.6
197;12.6;12.5;8.4;3.4;2.6
198;13.5;15.5;9.7;4;3.2
199;6.87;17.64;8.67;5.09;3.69
200.1;0.35;0.86;1.67;21.95;30.69
201;0.75;5.57;27.04;36.21;13.66
202;0.84;6.51;32.2;39.78;8.14
203;0.24;3.07;28.3;41.14;9.88
204;1.14;8.26;36.52;35.42;5.8
205;0.99;1.86;7.04;31.43;21.25
206;8.77;20.95;26.2;25.94;5.48
207;3.72;17.78;34.1;26.37;5.22
208;3.83;16.65;30.85;31.61;5.39
209;11.1;27.3;25.61;16.26;4.07
210;11.08;21.48;25.72;14.81;3.9
211;0.2;0.95;20.36;53.9;12.85
212;0.38;1.4;6.06;54.46;22.87
213;0.44;1.96;8.14;49.11;22.72
214;0.24;1.13;8.63;45.41;22.38
215;0.4;2.15;7.99;52.19;17.52
216;0.26;1.77;14.65;47.4;16.6
217;0.18;0.83;9.58;53.75;19.62
218;0.72;5.39;24.35;46.94;7.66
219;1.76;11.75;11.63;3.25;2.71
220;1.15;4.2;17.45;62.32;5.77
221;0.37;3.6;25.59;41.16;9.26
222;0.63;1.36;5.29;52.8;18.19
223;0.01;11.74;25.92;25.27;16.83
224;0.48;2.26;4.09;15.18;28.97
225;0.78;5.13;9.42;28.37;24.15
226;0.27;0.73;1.27;31.12;29.23
227;0.98;8.19;27.26;25.62;8.32
228;0.7;5.52;13.82;26.15;10.62
229;0.54;2.84;8.48;13.8;8
230;7.31;17.92;12.39;9.22;5.35
231;12.21;23.03;14.98;8.07;4.15
232;0.75;2.9;6.21;33.42;21.19
233;1.14;5.16;27.47;32.6;12.5
234;13.93;27.5;14.99;7.42;4.48
235;5.99;14.23;10.33;7.45;9.99
236;10.6;12.7;21.3;12.9;2.6
237;12.13;25.79;26.1;15.71;4.06
238;14.07;27.66;23.74;15.05;3.84
239;9.99;26.23;23.08;20.28;6.17
240;7.59;23.56;25.94;20.96;6.43
241;8.86;21.17;21.5;19.66;7.75
242;10.78;20.18;18.71;17.34;8.46
243;0.31;0.89;11.7;46.09;21.06
244;0.18;0.57;3.44;20.05;31.9
245;0.53;1.3;3.97;16.34;14.25
246;2.88;12.37;20.86;33.18;15.57
247;0.48;0.83;1.64;21.54;40.08
248;0.43;0.67;5.23;47.68;19.77
249;0.47;1.21;1.03;5.81;17.49
250;0.6;1.35;1.41;7.2;18.83
251;0.22;0.57;1.62;22.57;31.11
252;1.08;3.29;11.34;32.12;21.55
253;8.69;18.08;16.08;11.53;8
254;4.08;5.76;6.99;12.31;10.55
255;4.39;5.72;6.51;10.92;10.43
256;5.3;5.7;6.6;11.9;10.4
257;4.02;5.79;7.29;12.06;9.77
258;1.18;4.3;9.89;39.88;22.72
259;0.24;1.1;28.65;55.31;4.48
260;0.93;4.1;22.98;62.24;6.95
261;1.6;5.28;16.16;37.38;13.53
262;9.43;24.52;32.4;11.87;3.42
263;0.2;0.71;1.22;2.28;5.62
264;10.38;26.27;28.71;14.79;3.87
265;8.56;24.35;27.85;21.4;3.96
266;5.68;17.66;30.41;24.96;5.67
267;3.36;12.39;30.54;35.5;6.88
268;4.86;16.08;25.23;26.86;8.13
269;6.24;17.57;25.1;25.38;8.6
270;2.11;8.56;27.23;41.55;10.17
271;4.82;12.54;19.96;25.13;13.02
272;6.98;17.67;30.66;19.57;5.17
273;5.95;21.84;28.12;18.6;6.04
274;6.43;20.91;26.35;21.23;6.2
275;3.21;11.12;23.88;15.08;7.3
276;2.92;11.42;21.73;12.29;5.89
337;0.09;0.7;10.13;43.24;25.35
338;0.07;0.18;0.64;8.73;32.68
339;0.2;0.91;1.5;10.17;14.43
340;2.76;13.49;23.58;33.64;17.03
341;0.1;0.46;1.17;8.75;32.94
342;0.04;0.12;4.39;62.03;19.23
343;0.14;0.6;0.59;7.94;24.43
344;0.04;0.2;0.56;24.4;29.18
345;0.06;0.81;2.98;12.11;34.83
347;17.05;20.76;16.82;9.98;6.23
348;5.25;7.24;7.98;14.56;13.01
